Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
T501925005,فیلا,6,6.0,300.0,980000.0,جنوب,بدر,مؤسسة غزالة للخدمات العقارية
G622333075,دور,6,5.0,500.0,1249000.0,شرق,الخليج,شركة سياد للاستثمار
L472435811,دور,5,4.0,523.0,1650000.0,شرق,الريان,شركة سياد للاستثمار
G066192381,دور,4,3.0,3098.0,1350000.0,وسط,الربوة,مساكن ركاز للعقارات
B566435343,دور,3,3.0,500.0,800000.0,غرب,شبرا,شركة نجمة التميز للعقارات
S442527647,فیلا,5,5.0,500.0,3500000.0,شرق,الملز,مؤسسة سعود علي عبدالعزيز السقامي للعقارات
T586702253,عمارة,11,11.0,1200.0,5500000.0,غرب,الجرادية,شركة الوديان العربيه للتطوير العقاري
T771872957,شقة,3,3.0,893.0,590000.0,غرب,ظهرة لبن,شركة صروح السعودية للتطوير والاستثمار العقاري
L680464272,دور,4,6.0,540.0,1450000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
J275107714,فیلا,3,4.0,312.0,1000000.0,غرب,العريجاء,شركة أختصاصي الأول للعقارات
W237753130,دور,8,2.0,103.0,280000.0,وسط,المرقب,مكتب خالد تركي العصيمي للعقارات
D089444658,دور,4,4.0,3098.0,1450000.0,وسط,الربوة,مساكن ركاز للعقارات
E273062078,شقة,4,3.0,3098.0,1100000.0,وسط,الربوة,مساكن ركاز للعقارات
A724019977,دور,4,4.0,214.0,760000.0,جنوب,بدر,شركة نجمة التميز للعقارات
A689471085,شقة,3,3.0,131.0,430000.0,جنوب,بدر,شركة نجمة التميز للعقارات
L866650018,شقة,3,3.0,131.0,420000.0,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
D266817233,شقة,3,3.0,125.0,880000.0,شمال,العارض,مكتب بدر حمد الموسى للعقارات
Y307883251,دور,3,5.0,540.0,1300000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
X341668579,فیلا,5,6.0,440.0,4200000.0,شمال,الربيع,مكتب غربي النخيل للعقارات
B089101864,دور,4,3.0,500.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
X403241518,دور,3,4.0,500.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
S001619488,فیلا,5,3.0,359.0,2400000.0,غرب,المهدية,مكتب وسيط المسعد للعقارات
I403364540,دور,3,3.0,191.0,1000000.0,شرق,الرمال,شركة إثراء الأولى العقارية
B506920439,دور,4,3.0,390.0,1750000.0,شمال,النرجس,شركة إثراء الأولى العقارية
N608778655,شقة,4,3.0,144.0,1160000.0,شمال,النرجس,شركة إثراء الأولى العقارية
B603367921,شقة,3,3.0,113.0,950000.0,شمال,النرجس,مؤسسة ودود العقارية
T346946457,فیلا,5,4.0,400.0,3500000.0,غرب,المهدية,عبدالملك بن سليمان بن عبدالله اليوسف
W680818240,شقة,3,3.0,163.0,530000.0,جنوب,عكاظ,شركة نجمة التميز للعقارات
B081401018,فیلا,8,5.0,450.0,5400000.0,شمال,النرجس,شركة إثراء الأولى العقارية
Z104757533,فیلا,5,4.0,200.0,1300000.0,شرق,الجنادرية,شركة قمة الوطن العقارية
I514829571,شقة,3,3.0,3150.0,1365000.0,شمال,العارض,شركة رفاه العقارية
N703783545,فیلا,5,3.0,289.0,1470000.0,شرق,الجنادرية,شركة قمة الوطن العقارية
M205981905,شقة,3,2.0,150.0,1300000.0,شمال,الملقا,مكتب شريط للعقارات
E434840747,دور,3,1.0,187.0,1100000.0,شرق,الرمال,شركة إثراء الأولى العقارية
O493406065,استراحة,3,3.0,341.0,6000000.0,شرق,الرمال,مكتب تميز البلاد للخدمات العقارية
Y631740910,شقة,3,3.0,182.0,1900000.0,شمال,حطين,مكتب آعالي للخدمات العقارية
K600054376,شقة,4,5.0,216.0,1373000.0,شمال,العارض,مؤسسة وسام المساكن العقارية
N062087818,دور,3,4.0,140.0,949000.0,شرق,الرمال,شركة ترف للتطوير والاستثمار العقاري
D104698284,شقة,4,3.0,177.0,450000.0,جنوب,بدر,شركة نجمة التميز للعقارات
S904625500,دور,3,3.0,500.0,950000.0,غرب,شبرا,شركة نجمة التميز للعقارات
X564268706,شقة,5,3.0,128.0,550000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
N958226528,دور,4,3.0,500.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
U934146095,دور,4,4.0,500.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
O424839322,دور,4,4.0,214.0,1430000.0,شمال,العارض,مؤسسة منازل النرجس للتطوير العقاري
E940246066,دور,4,3.0,500.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
E739553712,شقة,5,4.0,171.0,650000.0,غرب,طويق,مكتب عبدالرحمن عبدالله الهويمل للعقارات
